  RESFILE cos_G160M_lsf_1760.dat
    1759.66000   9.75764e-01   7.31679e-02
    1759.69000   9.82733e-01   7.21295e-02
    1759.73000   1.00486e+00   7.48058e-02
    1759.77000   1.00602e+00   7.32484e-02
    1759.80000   1.00771e+00   7.32789e-02
    1759.84000   9.16107e-01   7.00027e-02
    1759.88000   8.78064e-01   6.82709e-02
    1759.91000   9.34839e-01   7.04715e-02
    1759.95000   9.96972e-01   7.25780e-02
    1759.99000   9.76400e-01   7.19593e-02
    1760.02000   8.03450e-01   6.54819e-02
    1760.06000   9.58159e-01   7.13088e-02
    1760.10000   1.06682e+00   7.49972e-02
    1760.13000   9.86457e-01   7.25992e-02
    1760.17000   9.10942e-01   6.96229e-02
    1760.21000   9.76570e-01   7.30449e-02
    1760.24000   1.03770e+00   7.47743e-02
    1760.28000   1.09855e+00   7.66485e-02
    1760.32000   1.07201e+00   7.64513e-02
    1760.35000   1.14517e+00   1.02292e-01
    1760.39000   1.01412e+00   8.50630e-02
    1760.43000   1.00422e+00   8.46059e-02
    1760.46000   8.83429e-01   8.07102e-02
    1760.50000   9.09079e-01   8.23173e-02
    1760.54000   9.39012e-01   8.21176e-02
    1760.57000   8.69878e-01   7.87788e-02
    1760.61000   1.03900e+00   8.58495e-02
    1760.65000   1.08108e+00   8.74066e-02
    1760.68000   9.94234e-01   8.39548e-02
    1760.72000   1.07406e+00   8.71587e-02
    1760.76000   1.05359e+00   8.66861e-02
    1760.80000   1.09130e+00   8.77495e-02
    1760.83000   9.16905e-01   8.07273e-02
    1760.87000   1.03430e+00   8.58943e-02
    1760.91000   9.08949e-01   8.07212e-02
    1760.94000   8.79288e-01   7.99905e-02
    1760.98000   8.10364e-01   7.69751e-02
    1761.02000   1.04609e+00   8.65049e-02
    1761.05000   1.12678e+00   8.96557e-02
    1761.09000   1.01740e+00   8.49224e-02
    1761.13000   9.83031e-01   8.35103e-02
    1761.16000   1.07034e+00   8.83539e-02
    1761.20000   1.13055e+00   8.97667e-02
    1761.24000   8.83893e-01   7.96060e-02
    1761.27000   9.99957e-01   8.43491e-02
    1761.31000   1.00687e+00   8.43477e-02
    1761.35000   9.62362e-01   8.30096e-02
    1761.38000   9.33420e-01   8.22423e-02
    1761.42000   8.82421e-01   7.92707e-02
    1761.46000   9.42672e-01   8.17970e-02
    1761.49000   9.01953e-01   8.00398e-02
    1761.53000   9.37765e-01   8.14913e-02
    1761.57000   1.16095e+00   9.23417e-02
    1761.60000   9.42635e-01   8.22973e-02
    1761.64000   1.05801e+00   8.67828e-02
    1761.68000   1.10442e+00   8.84765e-02
    1761.71000   1.00930e+00   8.47695e-02
    1761.75000   1.01858e+00   8.48943e-02
    1761.79000   1.05828e+00   8.79412e-02
    1761.82000   8.29239e-01   7.68774e-02
    1761.86000   9.71160e-01   8.30328e-02
