x_med	x_mean	x_std	x_cfl11	x_cfl12	 x_cfl21	x_cfl22
16.332235	15.190343	2.776634	10.944548	17.758719	10.132807	17.992086
17.663901	14.056155	5.614348	6.848209	17.984562	0.677486	17.998349
0.138484	0.138392	0.000795	0.137539	0.138491	0.136638	0.140313
16.335302	15.113301	2.757726	11.050008	17.757090	10.120603	17.936728
17.601390	13.620154	5.900146	5.472433	17.983423	0.707628	17.998450
0.138491	0.138627	0.000828	0.138484	0.139648	0.136754	0.140335
