x_med	x_mean	x_std	x_cfl11	x_cfl12	 x_cfl21	x_cfl22
13.277499	13.185752	0.378179	13.214144	13.318348	12.042274	13.362341
11.508651	11.031741	1.537591	10.627838	11.871535	5.461726	11.980478
0.138498	0.138496	0.000057	0.138493	0.138503	0.138463	0.138528
