# wave	flux	error	model
# 
1.233230000000000018e+03 9.783016300000000331e-01 3.106419900000000067e-02 9.999998305728030612e-01
1.233259999999999991e+03 1.007270899999999969e+00 3.150447099999999917e-02 9.999998185486719260e-01
1.233289999999999964e+03 1.034883299999999950e+00 3.196241300000000202e-02 9.999998051960148349e-01
1.233319999999999936e+03 9.835843100000000172e-01 3.106314300000000139e-02 9.999997903113102549e-01
1.233349999999999909e+03 9.766599599999999937e-01 3.078764999999999974e-02 9.999997736504381285e-01
1.233380000000000109e+03 1.011678700000000042e+00 3.123200799999999860e-02 9.999997549185377643e-01
1.233410000000000082e+03 1.014487300000000092e+00 3.124240299999999845e-02 9.999997337567736455e-01
1.233440000000000055e+03 1.029619199999999957e+00 3.141013399999999928e-02 9.999997097248817246e-01
1.233470000000000027e+03 1.046418300000000023e+00 3.170432799999999690e-02 9.999996822778793870e-01
1.233500000000000000e+03 9.596506799999999782e-01 3.047459300000000121e-02 9.999996507345915164e-01
1.233529999999999973e+03 9.569896599999999642e-01 3.051122599999999893e-02 9.999996142345184413e-01
1.233559999999999945e+03 9.841411700000000096e-01 3.104949599999999935e-02 9.999995716778180554e-01
1.233579999999999927e+03 9.529168799999999662e-01 3.054017100000000137e-02 9.999995392553320261e-01
1.233609999999999900e+03 9.631091999999999986e-01 3.079079499999999928e-02 9.999994832254965882e-01
1.233640000000000100e+03 9.805158499999999666e-01 3.107951100000000064e-02 9.999994162626828498e-01
1.233670000000000073e+03 9.659648800000000257e-01 3.093950000000000172e-02 9.999993353070972812e-01
1.233700000000000045e+03 9.853621299999999472e-01 3.120049899999999959e-02 9.999992361401109919e-01
1.233730000000000018e+03 9.365820400000000046e-01 3.043447100000000113e-02 9.999991128097319715e-01
1.233759999999999991e+03 1.004429900000000098e+00 3.133306899999999812e-02 9.999989566901660298e-01
1.233789999999999964e+03 9.879633100000000390e-01 3.103571499999999844e-02 9.999987548787194758e-01
1.233819999999999936e+03 1.005378799999999906e+00 3.128721400000000069e-02 9.999984873270131303e-01
1.233849999999999909e+03 9.862932800000000499e-01 3.098719299999999968e-02 9.999981213912954026e-01
1.233880000000000109e+03 1.021695100000000078e+00 3.147636300000000026e-02 9.999976006624348157e-01
1.233910000000000082e+03 9.692690400000000261e-01 3.080890500000000101e-02 9.999968192141261980e-01
1.233940000000000055e+03 9.650217800000000512e-01 3.074677599999999997e-02 9.999954719902058864e-01
1.233970000000000027e+03 9.735430800000000051e-01 3.092835899999999902e-02 9.999853576379118536e-01
1.234000000000000000e+03 1.001571500000000059e+00 3.157335299999999845e-02 9.996583720839559151e-01
