# wave	flux	error	model
# 
1.381460000000000036e+03 1.016580000000000039e+00 3.560170000000000001e-02 9.986714034498754833e-01
1.381490000000000009e+03 9.498839999999999506e-01 3.441219999999999696e-02 9.986369765529081732e-01
1.381519999999999982e+03 9.919860000000000344e-01 3.519549999999999762e-02 9.986022988250934374e-01
1.381549999999999955e+03 9.833840000000000359e-01 3.500709999999999933e-02 9.985670357571631017e-01
1.381579999999999927e+03 9.961989999999999457e-01 3.525459999999999705e-02 9.985305447565718806e-01
1.381609999999999900e+03 1.043220000000000036e+00 3.606349999999999834e-02 9.984920911997157145e-01
1.381640000000000100e+03 9.482019999999999893e-01 3.445329999999999920e-02 9.984510213666824008e-01
1.381670000000000073e+03 1.025700000000000056e+00 3.570729999999999738e-02 9.984068139958017785e-01
1.381700000000000045e+03 9.795420000000000238e-01 3.499850000000000183e-02 9.983589960809909902e-01
1.381730000000000018e+03 9.659210000000000296e-01 3.480069999999999691e-02 9.983069655999674552e-01
1.381759999999999991e+03 1.023609999999999909e+00 3.568169999999999675e-02 9.982499240913553784e-01
1.381789999999999964e+03 9.963199999999999834e-01 3.525509999999999755e-02 9.981868346977248452e-01
1.381819999999999936e+03 1.007449999999999957e+00 3.544420000000000209e-02 9.981164503934760734e-01
1.381849999999999909e+03 1.019400000000000084e+00 3.563689999999999913e-02 9.980374404156884260e-01
1.381880000000000109e+03 1.067900000000000071e+00 3.655390000000000028e-02 9.979484359101482571e-01
1.381910000000000082e+03 1.071569999999999911e+00 3.649920000000000248e-02 9.978481485383970950e-01
1.381940000000000055e+03 9.996220000000000105e-01 3.539409999999999779e-02 9.977355113916364093e-01
1.381970000000000027e+03 9.539729999999999599e-01 3.483229999999999660e-02 9.976097893499609182e-01
1.382000000000000000e+03 1.015139999999999931e+00 3.561380000000000101e-02 9.974707410567795751e-01
1.382029999999999973e+03 1.018270000000000008e+00 3.570000000000000256e-02 9.973185643829586278e-01
1.382059999999999945e+03 1.076349999999999918e+00 3.675609999999999988e-02 9.971535666376617479e-01
1.382089999999999918e+03 1.084319999999999951e+00 3.676460000000000145e-02 9.969756902698418966e-01
1.382119999999999891e+03 1.005870000000000042e+00 3.548300000000000065e-02 9.967841910245229808e-01
1.382150000000000091e+03 1.025139999999999940e+00 3.576780000000000237e-02 9.965778235974350752e-01
1.382180000000000064e+03 1.005349999999999966e+00 3.538920000000000260e-02 9.963549502582629280e-01
1.382210000000000036e+03 1.018010000000000081e+00 3.558580000000000076e-02 9.961136021810426122e-01
1.382240000000000009e+03 1.038950000000000040e+00 3.608759999999999746e-02 9.958514618850049516e-01
1.382269999999999982e+03 1.033449999999999980e+00 3.586860000000000048e-02 9.955659530018338144e-01
1.382299999999999955e+03 1.059989999999999988e+00 3.634029999999999899e-02 9.952543834417877378e-01
1.382329999999999927e+03 1.071730000000000071e+00 3.656480000000000147e-02 9.949142395599167576e-01
1.382359999999999900e+03 1.035139999999999949e+00 3.585859999999999742e-02 9.945436942768011157e-01
1.382390000000000100e+03 1.054859999999999909e+00 3.623649999999999788e-02 9.941411319950372860e-01
1.382420000000000073e+03 1.040519999999999889e+00 3.598799999999999916e-02 9.937039722729282820e-01
1.382450000000000045e+03 1.033860000000000001e+00 3.584299999999999986e-02 9.932275363694088588e-01
1.382480000000000018e+03 1.025430000000000064e+00 3.576569999999999749e-02 9.927057388617074318e-01
1.382509999999999991e+03 9.957859999999999490e-01 3.523559999999999887e-02 9.921333726941908848e-01
1.382539999999999964e+03 1.022049999999999903e+00 3.568659999999999888e-02 9.915086728739248567e-01
1.382569999999999936e+03 1.042650000000000077e+00 3.600810000000000122e-02 9.908342122705919852e-01
1.382599999999999909e+03 1.034890000000000088e+00 3.594479999999999897e-02 9.901165933798800056e-01
1.382630000000000109e+03 9.825420000000000265e-01 3.494660000000000127e-02 9.893655696711234349e-01
1.382660000000000082e+03 9.901520000000000321e-01 3.513320000000000332e-02 9.885912148146663858e-01
1.382690000000000055e+03 9.739550000000000152e-01 3.477609999999999729e-02 9.877999439904594503e-01
